id,version,seed_id,zoo_id,n_example,canvasdata,actiondata,gen_code_18
0,1.0,3.0,19.0,6.0,"[{'id': 'prim0', 'transformstr': 't480,300s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't420,480r-90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim1'}, {'bind': ['prim0', 'prim1']}, {'unbind': ['prim0', 'prim1']}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}]",AB9+0
1,1.0,4.0,18.0,6.0,"[{'id': 'prim0', 'transformstr': 't540,180s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't660,360r180,0,0s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't420,300s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't540,360r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'bind': ['prim0', 'prim0']}, {'create': 'prim0'}, {'create': 'prim1'}, {'rotate': 'prim1'}]",Invalid
1,1.0,4.0,8.0,6.0,"[{'id': 'prim0', 'transformstr': 't540,180s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't540,120s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't720,180r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}, {'create': 'prim1'}, {'rotate': 'prim1'}]",AA0B0+0
1,1.0,4.0,2.0,6.0,"[{'id': 'prim0', 'transformstr': 't480,180s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't600,240r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim1'}, {'rotate': 'prim1'}]",AB0+0
1,1.0,4.0,7.0,6.0,"[{'id': 'prim2', 'transformstr': 't780,360r180,0,0s3,3,0,0'}, {'id': 'prim2', 'transformstr': 't600,300s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't600,480r-90,0,0s3,3,0,0'}]","[{'create': 'prim2'}, {'rotate': 'prim2'}, {'rotate': 'prim2'}, {'create': 'prim2'}, {'create': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}]",AC3C2+90
1,1.0,4.0,14.0,6.0,"[{'id': 'prim2', 'transformstr': 't600,240s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't600,180s3,3,0,0'}]","[{'create': 'prim2'}, {'create': 'prim1'}]",BC0+0
1,1.0,4.0,4.0,6.0,"[{'id': 'prim3', 'transformstr': 't540,180s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't480,180s3,3,0,0'}]","[{'create': 'prim3'}, {'create': 'prim1'}]",BD12+0
1,1.0,4.0,20.0,6.0,"[{'id': 'prim2', 'transformstr': 't540,300s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't480,240s3,3,0,0'}]","[{'create': 'prim2'}, {'create': 'prim0'}]",AC1+0
1,1.0,4.0,3.0,6.0,"[{'id': 'prim3', 'transformstr': 't540,300s3,3,0,0'}, {'id': 'prim2', 'transformstr': 't660,180r90,0,0s3,3,0,0'}]","[{'create': 'prim3'}, {'create': 'prim2'}, {'rotate': 'prim2'}]",Invalid
1,1.0,4.0,6.0,6.0,"[{'id': 'prim1', 'transformstr': 't540,240s3,3,0,0'}, {'id': 'prim2', 'transformstr': 't600,300s3,3,0,0'}]","[{'create': 'prim1'}, {'create': 'prim2'}]",BC0+0
1,1.0,4.0,5.0,6.0,"[{'id': 'prim0', 'transformstr': 't540,360s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't600,420s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}]",Invalid
1,1.0,4.0,16.0,6.0,"[{'id': 'prim0', 'transformstr': 't600,240s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't600,300s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}]",AA0+0
1,1.0,4.0,15.0,6.0,"[{'id': 'prim1', 'transformstr': 't600,300s3,3,0,0'}, {'id': 'prim2', 'transformstr': 't660,420r-90,0,0s3,3,0,0'}]","[{'create': 'prim1'}, {'create': 'prim2'}, {'rotate': 'prim2'}, {'rotate': 'prim2'}, {'rotate': 'prim2'}]",BC11+0
1,1.0,4.0,17.0,6.0,"[{'id': 'prim3', 'transformstr': 't540,300s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't600,240r90,0,0s3,3,0,0'}]","[{'create': 'prim3'}, {'create': 'prim0'}, {'rotate': 'prim0'}]",AD4+270
1,1.0,4.0,13.0,6.0,"[{'id': 'prim0', 'transformstr': 't600,300s3,3,0,0'}, {'id': 'prim2', 'transformstr': 't540,240s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim2'}]",AC5+0
1,1.0,4.0,1.0,6.0,"[{'id': 'prim1', 'transformstr': 't540,240s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't540,180s3,3,0,0'}]","[{'create': 'prim1'}, {'create': 'prim0'}]",AB0+0
1,1.0,4.0,12.0,6.0,"[{'id': 'prim0', 'transformstr': 't540,240s3,3,0,0'}]",[{'create': 'prim0'}],A+0
1,1.0,4.0,9.0,6.0,"[{'id': 'prim0', 'transformstr': 't600,240s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't600,180s3,3,0,0'}, {'id': 'prim2', 'transformstr': 't720,240r180,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}, {'create': 'prim2'}, {'rotate': 'prim2'}, {'rotate': 'prim2'}]",AA0C9+0
1,1.0,4.0,19.0,6.0,"[{'id': 'prim1', 'transformstr': 't600,240s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't600,180s3,3,0,0'}]","[{'create': 'prim1'}, {'create': 'prim0'}]",AB5+0
1,1.0,4.0,11.0,6.0,"[{'id': 'prim0', 'transformstr': 't660,180s3,3,0,0'}]",[{'create': 'prim0'}],A+0
1,1.0,4.0,0.0,6.0,"[{'id': 'prim0', 'transformstr': 't660,180r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'rotate': 'prim0'}]",A+270
1,1.0,4.0,10.0,6.0,"[{'id': 'prim0', 'transformstr': 't480,60r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'rotate': 'prim0'}]",A+270
2,1.0,0.0,11.0,3.0,"[{'id': 'prim0', 'transformstr': 't480,360s3,3,0,0'}]",[{'create': 'prim0'}],A+0
2,1.0,0.0,20.0,3.0,"[{'id': 'prim1', 'transformstr': 't720,360r180,0,0s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't660,360r90,0,0s3,3,0,0'}]","[{'create': 'prim1'}, {'rotate': 'prim1'}, {'create': 'prim0'}, {'bind': ['prim1', 'prim0']}]",AB0+270
2,1.0,0.0,9.0,3.0,"[{'id': 'prim0', 'transformstr': 't540,300s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't600,360r90,0,0s3,3,0,0'}, {'id': 'prim2', 'transformstr': 't540,420s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}, {'rotate': 'prim0'}, {'create': 'prim2'}]",AA1C12+0
2,1.0,0.0,15.0,3.0,"[{'id': 'prim0', 'transformstr': 't540,360s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't600,480r-90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}]",AB0+0
2,1.0,0.0,5.0,3.0,"[{'id': 'prim0', 'transformstr': 't540,240s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't540,300s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}]",AA0+0
2,1.0,0.0,1.0,3.0,"[{'id': 'prim1', 'transformstr': 't600,300r90,0,0s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't540,360s3,3,0,0'}]","[{'create': 'prim1'}, {'rotate': 'prim1'}, {'create': 'prim0'}]",AB7+0
